image_name,number_vehicles,number_recognized_vehicle,correct_class_ratio
454,1,0,0
870,2,1,0.5
1096,1,1,1
1539,1,1,1
2114,1,0,0
2426,1,1,1
3192,1,0,0
3450,2,1,0.5
3613,2,2,1
4110,2,0,0
4640,1,1,1
4683,1,0,0
4697,3,1,0.3
4815,3,1,0.3
5545,1,1,1
6800,1,1,1
7138,1,0,0
7289,1,1,1
8266,2,1,0.5
8800,1,0,0
9509,1,0,0
10130,1,0,0
10713,1,0,0
11689,3,1,0.3
12164,2,1,0.5
13512,1,0,0
13812,1,0,0
13869,1,1,0
14280,1,0,0
14419,1,0,0
14912,1,1,1
15093,1,0,0
15333,1,1,1
17090,1,1,1
17551,3,0,0
17661,1,0,0
17899,1,1,1
18489,2,2,1
19001,1,1,1
20439,2,0,0
20746,1,0,0
21319,1,1,1
21456,2,0,0
21660,1,1,1
22035,1,1,1
22335,1,0,0
22903,2,0,0
22999,2,1,0.5
23606,1,1,1
23753,1,1,1
25878,3,0,0
26239,1,0,0
26531,2,0,0
26622,2,1,0.5
1854515_piv7395,1,1,1
1854515_piv8965,1,1,1
1881438_piv3954,1,1,1
1881438_piv4022,1,1,1
1881438_piv4120,1,0,0
1881438_piv4175,1,1,1
1881438_piv4187,1,1,1
1881438_piv5397,1,1,1
1881438_piv5877,1,1,1
1881438_piv6417,1,1,1
1881438_piv6743,1,1,1
1881438_piv8322,1,0,0
1881438_piv8698,1,1,1
1881438_piv9235,1,1,1
test_results1096.png,1,1,1
